State,Need,Party Name,Party,Party Name Poll,Gallop,Party Name Prediction,Prediction
Alabama,9,Republican,0,Republican,0,Democratic ,1
Alaska,3,Republican,0,Republican,0,Democratic ,1
Arizona,11,Democratic ,1,Republican,0,Democratic ,1
Arkansas,6,Republican,0,Democratic ,1,Democratic ,1
California,55,Democratic ,1,Democratic ,1,Republican,0
Colorado,9,Democratic ,1,Republican,0,Republican,0
Connecticut,7,Democratic ,1,Democratic ,1,Republican,0
Delaware,3,Democratic ,1,Democratic ,1,Republican,0
District of Columbia,3,Democratic ,1,Democratic ,1,Republican,0
Florida,29,Republican,0,Democratic ,1,Republican,0
Georgia,16,Democratic ,1,Republican,0,Democratic ,1
Hawaii,4,Democratic ,1,Democratic ,1,Republican,0
Idaho,4,Republican,0,Republican,0,Democratic ,1
Illinois,20,Democratic ,1,Democratic ,1,Republican,0
Indiana,11,Republican,0,Republican,0,Democratic ,1
Iowa,6,Republican,0,Democratic ,1,Republican,0
Kansas,6,Republican,0,Republican,0,Democratic ,1
Kentucky,8,Republican,0,Democratic ,1,Democratic ,1
Louisiana,8,Republican,0,Republican,0,Democratic ,1
Maine,4,Democratic ,1,Democratic ,1,Republican,0
Maryland,10,Democratic ,1,Democratic ,1,Republican,0
Massachusetts,11,Democratic ,1,Democratic ,1,Republican,0
Michigan,16,Democratic ,1,Democratic ,1,Republican,0
Minnesota,10,Democratic ,1,Democratic ,1,Republican,0
Mississippi,6,Republican,0,Republican,0,Democratic ,1
Missouri,10,Republican,0,Republican,0,Democratic ,1
Montana,3,Republican,0,Republican,0,Democratic ,1
Nebraska,5,Republican,0,Republican,0,Democratic ,1
Nevada,6,Democratic ,1,Republican,0,Republican,0
New Hampshire,4,Democratic ,1,Republican,0,Republican,0
New Jersey,14,Democratic ,1,Democratic ,1,Republican,0
New Mexico,5,Democratic ,1,Democratic ,1,Republican,0
New York,29,Democratic ,1,Democratic ,1,Republican,0
North Carolina,15,Republican,0,Democratic ,1,Democratic ,1
North Dakota,3,Republican,0,Republican,0,Democratic ,1
Ohio,18,Republican,0,Democratic ,1,Republican,0
Oklahoma,7,Republican,0,Republican,0,Democratic ,1
Oregon,7,Democratic ,1,Democratic ,1,Republican,0
Pennsylvania,20,Democratic ,1,Democratic ,1,Republican,0
Rhode Island,4,Democratic ,1,Democratic ,1,Republican,0
South Carolina,9,Republican,0,Republican,0,Democratic ,1
South Dakota,3,Republican,0,Republican,0,Democratic ,1
Tennessee,11,Republican,0,Republican,0,Democratic ,1
Texas,38,Republican,0,Republican,0,Democratic ,1
Utah,6,Republican,0,Republican,0,Democratic ,1
Vermont,3,Democratic ,1,Democratic ,1,Republican,0
Virginia,13,Democratic ,1,Republican,0,Republican,0
Washington,12,Democratic ,1,Democratic ,1,Republican,0
West Virginia,5,Republican,0,Democratic ,1,Democratic ,1
Wisconsin,10,Democratic ,1,Democratic ,1,Republican,0
Wyoming,3,Republican,0,Republican,0,Democratic ,1
